CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
768805383,0,-0.1654055800960332,3,39,5,1,3,0.4466219030536973,777,11914.0,1.335,1144,-0.973895181755695,1.625,-0.7758822346288718,9.3448e-05,0.99991,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
818770008,0,0.33357038345253087,5,44,6,1,2,-0.04136665206187948,864,7392.0,1.541,1291,-1.357340378311742,3.714,-0.6162756545246247,5.6861e-05,0.99994,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
713982108,0,0.5830583652268129,3,36,4,1,0,-0.5736977974168198,0,3418.0,2.594,1887,-1.9112056622260318,2.333,-0.99715499340976,2.1081e-05,0.99998,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
769911858,0,-0.7891255345317383,4,34,3,4,1,-0.5852510777521379,2517,796.0,1.405,1171,-1.9112056622260318,2.333,1.7596859356636003,0.00013366,0.99987,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
709106358,0,-0.7891255345317383,3,21,5,1,0,-0.43087724622403095,0,4716.0,2.175,816,-1.5703654875095456,2.5,-0.99715499340976,2.1676e-05,0.99998,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
713061558,0,-0.29014957098317423,2,36,3,1,2,-0.5085593025738837,1247,2763.0,1.376,1088,-1.7407855748677887,0.846,0.1309733341452598,5.5077e-05,0.99994,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
810347208,0,0.5830583652268129,4,46,6,1,3,2.848053744180521,2264,32252.0,1.975,1330,-1.4425504219908634,0.722,-0.7577451232533892,0.00012303,0.99988,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
818906208,0,-1.7870774616288665,0,27,2,2,2,2.250033947776201,1396,27685.0,2.204,1538,-1.2295253127930597,0.714,-0.8230387242051267,8.5795e-05,0.99991,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
710930508,0,-1.1633575071931614,3,36,5,2,0,1.5096337251442469,2517,19835.0,3.355,1350,-1.7407855748677887,1.182,-0.5872562763238525,4.4796e-05,0.99996,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
719661558,0,0.20882639256538985,2,36,6,3,3,0.3327395683198479,1677,9979.0,1.524,1441,-1.3999454001513025,0.882,-0.47480618579586015,0.00030251,0.9997,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
